# salience_rank	word	lift_rank	zipf	salience	lift	tf	idf	z_eff
# salience = 100 * sqrt(tf * idf); tf = norm(log10 modelled lift), idf = norm(8 - z_eff)
# z_eff = zipf, minus 1.5 if hyphenated, floored at 0.8 when wordfreq does not know the word
# scan.sh reads columns 1, 2 and 5; the rest show the working
# regenerate: uv run --with wordfreq --python 3.12 tools/rescore.py
1	load-bearing	1	4.06	81.9	39.5	1.000	0.670	2.56
2	byte-identical	16	3.11	71.3	17.2	0.599	0.848	1.61
3	re-derived	6	4.24	68.7	23.1	0.741	0.637	2.74
4	plainly	2	3.38	68.2	32.1	0.900	0.517	3.38
5	carve-out	33	3.41	62.5	13.9	0.494	0.792	1.91
6	vacuously	59	1.33	60.7	11.7	0.410	0.901	1.33
7	mutation-checked	36	3.59	60.4	13.5	0.481	0.758	2.09
8	chokepoint	58	1.46	60.1	11.7	0.412	0.876	1.46
9	provably	38	2.08	60.0	13.3	0.473	0.760	2.08
10	halves	7	3.47	59.9	22.1	0.718	0.500	3.47
11	pre-fix	14	4.54	59.9	17.9	0.618	0.581	3.04
12	ungated	66	1.31	59.7	11.3	0.393	0.904	1.31
13	refusal	4	3.83	58.8	26.1	0.799	0.433	3.83
14	asserted	8	3.59	57.8	21.2	0.699	0.478	3.59
15	asymmetry	26	2.88	56.8	14.9	0.528	0.610	2.88
16	byte-for-byte	85	2.85	56.6	10.5	0.357	0.897	1.35
17	bit-identical	34	4.18	56.3	13.8	0.490	0.648	2.68
18	quietly	3	4.15	56.0	28.4	0.841	0.373	4.15
19	self-heals	72	3.32	55.5	11.0	0.381	0.809	1.82
20	vacuous	45	2.54	55.0	12.6	0.449	0.674	2.54
21	mutation-verified	75	3.46	54.2	10.9	0.375	0.783	1.96
22	rung	28	3.20	53.4	14.6	0.518	0.551	3.20
23	refusals	63	2.34	53.4	11.4	0.400	0.712	2.34
24	restated	50	2.67	53.1	12.3	0.434	0.650	2.67
25	backstop	54	2.60	52.9	12.0	0.423	0.663	2.60
26	premise	12	3.82	52.7	18.8	0.640	0.434	3.82
27	empirically	43	2.88	52.7	12.8	0.456	0.610	2.88
28	falsified	42	2.92	52.6	12.9	0.459	0.603	2.92
29	throwaway	52	2.77	52.0	12.1	0.428	0.631	2.77
30	re-verified	69	3.92	51.9	11.1	0.387	0.697	2.42
31	disagreed	24	3.49	51.8	15.3	0.540	0.496	3.49
32	wedged	47	2.90	51.8	12.5	0.443	0.607	2.90
33	mutation-tested	87	3.58	51.8	10.4	0.353	0.760	2.08
34	outright	15	3.83	51.3	17.6	0.608	0.433	3.83
35	survived	5	4.32	51.1	24.4	0.767	0.341	4.32
36	deliberately	11	4.02	50.9	19.3	0.653	0.397	4.02
37	genuinely	10	4.10	50.5	19.8	0.667	0.382	4.10
38	refuses	13	4.02	50.0	18.3	0.629	0.397	4.02
39	reproduces	70	2.71	49.7	11.1	0.385	0.642	2.71
40	unparseable	182	0.00	49.7	8.3	0.247	1.000	0.80
41	defect	29	3.68	48.6	14.4	0.513	0.461	3.68
42	re-derives	130	3.41	48.4	9.2	0.295	0.792	1.91
43	deliberate	27	3.82	47.7	14.7	0.523	0.434	3.82
44	unit-testable	198	2.48	47.6	8.1	0.234	0.966	0.98
45	loudly	30	3.79	47.3	14.3	0.508	0.440	3.79
46	byte-identity	160	3.14	47.3	8.7	0.265	0.843	1.64
47	adversarially	218	0.00	47.0	7.9	0.221	1.000	0.80
48	rests	40	3.64	46.7	13.1	0.466	0.468	3.64
49	seam	51	3.44	46.7	12.2	0.431	0.506	3.44
50	re-measured	97	4.21	46.6	10.1	0.338	0.642	2.71
51	lever	41	3.64	46.5	13.0	0.462	0.468	3.64
52	probed	94	2.88	45.7	10.1	0.342	0.610	2.88
53	short-circuits	140	3.76	45.5	9.0	0.285	0.727	2.26
54	indistinguishable	78	3.16	45.4	10.7	0.369	0.558	3.16
55	structurally	77	3.19	45.3	10.8	0.371	0.552	3.19
56	ruling	17	4.29	45.2	16.9	0.590	0.346	4.29
57	stamped	53	3.58	45.2	12.0	0.425	0.479	3.58
58	diffed	244	0.00	45.2	7.6	0.204	1.000	0.80
59	carries	20	4.23	45.0	16.1	0.566	0.358	4.23
60	re-deriving	203	2.95	45.0	8.1	0.231	0.878	1.45
61	predates	103	2.87	44.9	9.9	0.329	0.612	2.87
62	spellings	109	2.79	44.9	9.7	0.321	0.627	2.79
63	re-derive	166	3.50	44.9	8.6	0.260	0.775	2.00
64	callee	202	1.49	44.9	8.1	0.232	0.871	1.49
65	goldens	179	1.84	44.8	8.4	0.249	0.805	1.84
66	minted	98	2.99	44.5	10.0	0.336	0.590	2.99
67	legitimately	76	3.36	44.1	10.8	0.373	0.521	3.36
68	genuine	18	4.37	43.9	16.6	0.582	0.331	4.37
69	unguarded	123	2.75	43.9	9.4	0.303	0.635	2.75
70	refusing	37	3.99	43.8	13.4	0.477	0.403	3.99
71	byte-exact	209	3.13	43.7	8.0	0.227	0.845	1.63
72	owed	46	3.86	43.6	12.6	0.446	0.427	3.86
73	settles	80	3.39	43.4	10.6	0.366	0.515	3.39
